S.No.,District,Total No. of Houses,Total Population,Dead,Injured,Govt. Houses Fully Destroyed,Govt. Houses Partially Destroyed,Public House Fully Destroyed,Public House Partially Destroyed,Displaced Male,Displaced Female,Property Loss,Incident Place,Damaged Houses(%),No. of Displaced Family,Cattles Loss,Office,Remarks
1,Sindhupalchowk,66688,287798,3057,860,0,0,44310,18991,0,0,,,0,0,0,,
2,Kathmandu,436344,1744240,1222,4634,9990,12915,27640,33215,0,0,,,0,0,0,,
3,Nuwakot,59215,277471,979,1311,16,0,30000,15000,0,0,,,0,0,0,,
4,Dhading,73851,336067,718,702,200,28,20000,15000,0,0,,,0,0,0,,
5,RASUWA,9778,43300,491,753,0,0,8000,1000,0,0,,,0,0,0,,
6,Gorkha,66506,271061,408,1034,40,14,44607,13236,0,0,,,0,0,0,,
7,Kavrepalanchowk,80720,381937,317,2780,2,93,30000,18545,0,0,,,0,0,0,,
8,Bhaktapur,68636,304651,315,1861,0,0,7000,2000,0,0,,,0,0,0,,
9,Lalitpur,109797,468132,176,2529,252,259,16344,5851,0,0,,,0,0,0,,
10,Dolakha,45688,186557,75,304,6,0,5000,35000,0,0,,,0,0,0,,
11,Makawanpur,86127,420477,33,127,0,0,363,497,0,0,,,0,0,0,,
12,Ramechhap,43910,202646,27,34,0,0,17072,23149,0,0,,,0,0,0,,
13,Solukhumbu,23785,105886,22,80,21,13,2483,6176,0,0,,,0,0,0,,
14,Okhaldhunga,32502,147984,19,53,11,12,8000,10000,0,0,,,0,0,0,,
15,Sindhuli,57581,296192,11,148,18,166,4159,8545,0,0,,,0,0,0,,
16,Sunsari,162407,763487,7,25,1,50,2,21,0,0,,,0,0,0,,
17,Chitawan,132462,579984,7,95,5,6,2046,3217,0,0,,,0,0,0,,
18,Bara,108635,687708,5,29,5,2,7,49,0,0,,,0,0,0,,
19,Parsa,95536,601017,5,23,0,14,16,20,0,0,,,0,0,0,,
20,Lamjung,42079,167724,5,31,32,95,7430,0,0,0,,,0,0,0,,
21,Morang,213997,965370,2,48,0,23,2,40,0,0,,,0,0,0,,
22,Bhojpur,39419,182459,2,8,13,25,1309,2195,0,0,,,0,0,0,,
23,Kaski,125673,492098,2,30,0,55,174,700,0,0,,,0,0,0,,
24,Taplejung,26509,127461,1,4,0,53,3,338,0,0,,,0,0,0,,
25,Dhanusha,138249,754777,1,19,0,0,1,0,0,0,,,0,0,0,,
26,Sarlahi,132844,769729,1,50,0,0,56,313,0,0,,,0,0,0,,
27,Rautahat,106668,686722,1,26,0,32,24,170,0,0,,,0,0,0,,
28,Nawalparasi,128793,643508,1,13,0,0,17,68,0,0,,,0,0,0,,
29,Tanahu,78309,323288,1,21,0,21,3377,12927,0,0,,,0,0,0,,
30,Rolpa,23013,136948,1,5,1,15,42,80,0,0,,,0,0,0,,
31,Rukum,19303,108921,1,1,10,16,61,120,0,0,,,0,0,0,,
32,Panchthar,41196,191817,0,6,9,56,41,481,0,0,,,0,0,0,,
33,Ilaam,64502,290254,0,5,5,28,93,393,0,0,,,0,0,0,,
34,Jhapa,184552,812650,0,19,1,35,1,29,0,0,,,0,0,0,,
35,Dhankuta,37637,163412,0,2,0,36,15,85,0,0,,,0,0,0,,
36,Terhathum,22094,101577,0,2,1,11,162,507,0,0,,,0,0,0,,
37,Shankhuwasabha,34624,158742,0,5,67,79,326,766,0,0,,,0,0,0,,
38,Khotang,42664,206312,0,4,19,52,1983,4764,0,0,,,0,0,0,,
39,Udayapur,66557,317532,0,29,3,228,95,205,0,0,,,0,0,0,,
40,Siraha,177962,637328,0,24,0,1,0,57,0,0,,,0,0,0,,
41,Saptari,121098,639284,0,17,1,14,0,47,0,0,,,0,0,0,,
42,Mahottari,111316,627580,0,10,0,13,43,38,0,0,,,0,0,0,,
43,Rupandehi,163916,880696,0,30,0,0,10,1043,0,0,,,0,0,0,,
44,Kapilbastu,91321,571936,0,3,0,1,0,24,0,0,,,0,0,0,,
45,Palpa,59291,261180,0,15,0,120,1060,1510,0,0,,,0,0,0,,
46,Arghakhanchi,46835,197632,0,2,2,29,140,485,0,0,,,0,0,0,,
47,Gulmi,64921,280160,0,6,0,100,770,2629,0,0,,,0,0,0,,
48,Shyanja,68881,289148,0,6,12,91,3119,9695,0,0,,,0,0,0,,
49,Manang,1400,6538,0,1,2,48,5,68,0,0,,,0,0,0,,
50,Mustang,3354,13452,0,1,2,19,56,617,0,0,,,0,0,0,,
51,Myagdi,27762,113641,0,7,0,0,97,490,0,0,,,0,0,0,,
52,Baglung,61522,268613,0,6,30,36,428,1176,0,0,,,0,0,0,,
53,Parbat,35719,146590,0,11,9,39,777,1617,0,0,,,0,0,0,,
54,Dang,9619,55286,0,3,1,19,7,508,0,0,,,0,0,0,,
55,Pyuthan,7488,36700,0,7,0,0,3,66,0,0,,,0,0,0,,
56,Salyan,47730,228102,0,2,3,16,18,147,0,0,,,0,0,0,,
57,Dolpa,41856,208567,0,0,0,0,1,5,0,0,,,0,0,0,,
58,Mugu,43757,224506,0,0,0,0,0,0,0,0,,,0,0,0,,
59,Humla,46558,242444,0,0,0,0,0,0,0,0,,,0,0,0,,
60,Jumla,9479,50858,0,2,0,0,0,2,0,0,,,0,0,0,,
61,Kalikot,116415,552583,0,0,0,1,2,0,0,0,,,0,0,0,,
62,Jajarkot,30472,171304,0,1,0,0,0,28,0,0,,,0,0,0,,
63,Dailekh,48919,261770,0,0,0,0,0,9,0,0,,,0,0,0,,
64,Surkhet,72863,350804,0,3,0,11,1,31,0,0,,,0,0,0,,
65,Bardiya,73176,426576,0,2,0,0,0,40,0,0,,,0,0,0,,
